Week,ID,Jar,Status,Status,Hatched
2,C3,2C3,0,un,1
2,C3,2C3,0,un,1
2,C3,2C3,0,un,1
2,C3,2C3,0,un,1
2,C3,2C3,0,un,1
2,C3,2C3,0,un,0
2,C4,2C4,0,un,0
2,C4,2C4,0,un,0
2,C4,2C4,0,un,0
2,C4,2C4,0,un,0
2,C4,2C4,0,un,0
2,C4,2C4,0,un,0
2,C4,2C4,0,un,0
2,C8,2C8,0,un,1
2,C8,2C8,0,un,1
2,C8,2C8,0,un,1
2,C8,2C8,0,un,1
2,C8,2C8,0,un,1
2,C8,2C8,0,un,1
2,C8,2C8,0,un,1
2,C8,2C8,0,un,1
2,C8,2C8,0,un,0
2,C8,2C8,0,un,0
2,C8,2C8,0,un,0
2,C8,2C8,0,un,0
2,C8,2C8,0,un,0
2,C8,2C8,0,un,0
2,C8,2C8,0,un,0
2,C10,2C10,0,un,1
2,C10,2C10,0,un,1
2,C10,2C10,0,un,1
2,C10,2C10,0,un,1
2,C10,2C10,0,un,1
2,C10,2C10,0,un,1
2,C10,2C10,0,un,1
2,C10,2C10,0,un,1
2,C10,2C10,0,un,1
2,C10,2C10,0,un,1
2,C10,2C10,0,un,1
2,C10,2C10,0,un,1
2,C10,2C10,0,un,1
2,C10,2C10,0,un,0
2,C10,2C10,0,un,0
2,C14,2C14,0,un,1
2,C14,2C14,0,un,1
2,C14,2C14,0,un,1
2,C14,2C14,0,un,1
2,C14,2C14,0,un,1
2,C14,2C14,0,un,1
2,C14,2C14,0,un,1
2,C14,2C14,0,un,1
2,C14,2C14,0,un,1
2,C14,2C14,0,un,1
2,C15,2C15,0,un,1
2,C15,2C15,0,un,1
2,C15,2C15,0,un,1
2,C15,2C15,0,un,1
2,C15,2C15,0,un,1
2,C15,2C15,0,un,1
2,C15,2C15,0,un,1
2,C15,2C15,0,un,1
2,C15,2C15,0,un,1
2,C15,2C15,0,un,1
2,C15,2C15,0,un,1
2,C15,2C15,0,un,0
2,C15,2C15,0,un,0
2,C16,2C16,0,un,1
2,C16,2C16,0,un,1
2,C16,2C16,0,un,1
2,C16,2C16,0,un,1
